No,SAP CODE,STORE NAME,LAT,LONG,Store Address
221,E146,ERAFONE ARION MALL,-6.1941555,106.8905934,"Arion Mall Lt. GF Unit 106A Jl. Pemuda Kav.3-4 RT.2/RW.7, Rawamangun, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220"
222,E140,ERAFONE CITYPLAZA JATINEGARA,-6.2139819,106.8643703,"Mall City Plaza Jatinegara Lantai 1 unit 11, Jl. Raya Jatinegara Barat, RT.7/RW.3, Bali Mester, Kecamatan Jatinegara, Kota Jakarta Timur, Jakarta 13320"
223,E032,ERAFONE KRAMAT JATI INDAH PLAZA,-6.2709015,106.8689721,"Kramat Jati Indah Plaza L2 K-29-31 Jl. Raya Bogor No.19, RT.14/RW.6, Kramat Jati, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13520"
224,E035,ERAFONE MAL CIPINANG INDAH,-6.2387893,106.8942796,"Mal Cipinang Indah Lt. 2 No.5, Kasil Penggolekan Jl. Cipinang Indah No.3, RT.18/RW.3, Pd. Bambu, Kec. Duren Sawit, Kota Jakarta Timur, Jakarta 13430"
225,E702,ERAFONE MB UTAN KAYU RAYA,-6.1934598,106.8660144,"Jl. Utan Kayu Raya No.45C, RW.5, Utan Kayu Utara, Kec. Matraman, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13120"
226,E500,ERAFONE PAHLAWAN REVOLUSI JAKTIM,-6.2201145,106.8994743,"Jl. Pahlawan Revolusi No.8A, RT.7/RW.4, Klender, Kec. Duren Sawit, Kota Jakarta Timur, 13470"
227,E546,ERAFONE PISANGAN LAMA,-6.2107805,106.878513,"Jl. Pisangan Lama III rt.6/rw.11 pisangan timur, kec Pulo Gadung, Kota Jakarta Timur"
228,E769,ERAFONE RAYA TENGAH PASAR REBO,-6.2972138,106.8611095,"Jl. Raya Tengah No.39, RT.2/RW.3, Gedong, Pasar Rebo, Jakarta Timur, Kode Pos 13760"
229,M182,MEGASTORE CILILITAN,-6.2637929,106.8691423,Jl.Cililitan Besar No.85 RT 003 / RW 09 Kel.Cililitan. Kec Makasar. Jakarta Timur
230,M162,MEGASTORE CONDET RAYA,-6.2798941,106.8551906,"Jl.Raya Condet No.85 RT 5 RW 3 , Batu Ampar, Kec.Kramat Jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakrta 13520"
